angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.09,,"[84, 87, 228, 304]",,0.0,,0.31,,0.01,,0.41,,0.13,,0.06,
0.05,,"[84, 88, 229, 305]",,0.0,,0.16,,0.0,,0.61,,0.13,,0.04,
0.07,,"[85, 88, 228, 304]",,0.0,,0.23,,0.0,,0.49,,0.13,,0.07,
0.05,,"[85, 89, 229, 304]",,0.0,,0.12,,0.01,,0.69,,0.1,,0.03,
0.06,,"[85, 88, 230, 305]",,0.0,,0.12,,0.01,,0.66,,0.1,,0.05,
0.05,,"[86, 88, 229, 305]",,0.0,,0.12,,0.0,,0.7,,0.09,,0.04,
0.08,,"[85, 87, 230, 305]",,0.0,,0.25,,0.0,,0.44,,0.12,,0.11,
0.05,,"[85, 88, 231, 306]",,0.0,,0.11,,0.01,,0.69,,0.11,,0.04,
0.04,,"[85, 88, 231, 306]",,0.0,,0.11,,0.01,,0.71,,0.1,,0.04,
0.07,,"[87, 88, 228, 304]",,0.0,,0.21,,0.0,,0.53,,0.1,,0.08,
0.08,,"[87, 88, 229, 304]",,0.0,,0.18,,0.0,,0.54,,0.12,,0.07,
0.05,,"[86, 88, 229, 304]",,0.0,,0.19,,0.0,,0.6,,0.09,,0.07,
0.05,,"[86, 88, 229, 304]",,0.0,,0.19,,0.0,,0.6,,0.09,,0.07,
0.03,,"[87, 88, 229, 305]",,0.0,,0.11,,0.01,,0.74,,0.08,,0.04,
0.06,,"[87, 89, 228, 302]",,0.0,,0.21,,0.01,,0.55,,0.09,,0.09,
0.04,,"[87, 89, 228, 303]",,0.0,,0.12,,0.01,,0.71,,0.08,,0.06,
0.04,,"[86, 89, 229, 303]",,0.0,,0.16,,0.01,,0.67,,0.07,,0.06,
0.04,,"[87, 89, 229, 303]",,0.0,,0.15,,0.01,,0.66,,0.08,,0.07,
0.04,,"[87, 89, 229, 303]",,0.0,,0.14,,0.01,,0.66,,0.08,,0.07,
0.04,,"[87, 88, 229, 304]",,0.0,,0.13,,0.01,,0.67,,0.09,,0.06,
0.04,,"[87, 88, 229, 304]",,0.0,,0.13,,0.01,,0.67,,0.1,,0.06,
0.05,0.06,"[87, 88, 229, 304]","[341, 222, 60, 92]",0.0,0.0,0.12,0.23,0.01,0.14,0.69,0.2,0.08,0.32,0.05,0.04
0.05,0.06,"[87, 88, 229, 304]","[341, 222, 60, 92]",0.0,0.0,0.13,0.23,0.01,0.15,0.69,0.2,0.08,0.32,0.05,0.05
0.07,,"[87, 87, 229, 304]",,0.0,,0.2,,0.0,,0.52,,0.1,,0.11,
0.05,,"[87, 89, 228, 302]",,0.0,,0.14,,0.01,,0.62,,0.08,,0.11,
0.05,,"[87, 87, 229, 305]",,0.0,,0.15,,0.01,,0.62,,0.1,,0.08,
0.05,,"[87, 87, 229, 305]",,0.0,,0.15,,0.01,,0.62,,0.1,,0.08,
0.04,,"[88, 88, 228, 304]",,0.0,,0.09,,0.01,,0.76,,0.07,,0.04,
0.04,,"[87, 88, 229, 304]",,0.0,,0.09,,0.01,,0.76,,0.07,,0.03,
0.04,,"[88, 85, 229, 309]",,0.0,,0.08,,0.0,,0.76,,0.07,,0.03,
