epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.116,1.9521,4.14804,1.27662,0.00254,0.56896,0.08564,0.04612,1.89729,4.84136,1.18124,0.000650407,0.000650407,0.000650407
2,302.934,1.84353,2.95499,1.29736,0.6777,0.224,0.36348,0.15553,1.92744,3.59383,1.348,0.00118668,0.00118668,0.00118668
3,453.773,1.8133,2.48047,1.33071,0.55915,0.536,0.47245,0.17537,1.99443,3.37345,1.51568,0.00159096,0.00159096,0.00159096
4,605.301,1.84532,2.19256,1.31721,0.67314,0.592,0.62635,0.2466,1.93702,2.81145,1.37478,0.001406,0.001406,0.001406
5,759.466,1.79547,1.84411,1.31061,0.85223,0.69212,0.78688,0.29589,2.04195,1.78744,1.40006,0.001208,0.001208,0.001208
6,911.754,1.67977,1.58903,1.27235,0.82253,0.616,0.73066,0.34112,1.84407,1.79553,1.28755,0.00101,0.00101,0.00101
7,1063.79,1.64939,1.39409,1.22955,0.83666,0.72,0.84722,0.40387,1.83866,1.39423,1.28664,0.000812,0.000812,0.000812
8,1214.34,1.61512,1.28258,1.21611,0.86744,0.768,0.8477,0.39186,1.84764,1.34904,1.2747,0.000614,0.000614,0.000614
9,1366,1.52167,1.17402,1.17043,0.88607,0.768,0.86126,0.42073,1.74093,1.246,1.22207,0.000416,0.000416,0.000416
10,1538.75,1.46858,1.06586,1.14761,0.86518,0.808,0.88965,0.45251,1.74096,1.12523,1.22521,0.000218,0.000218,0.000218
